id_direccion,id_cliente,id_tipo_vial,id_nom_vial,id_tipo_vial1,id_nom_vial1,id_tipo_vial2,id_nom_vial2,id_tipo_vial3,id_nom_vial3,numero_ext,numero_int,id_tipo_asent,id_nombre_asent,cod_postal
66,6166370,7,4966,7,16858,7,4860,#N/A,12280,223,0,8,2617,22810
67,6166371,7,12280,7,16169,7,16168,7,16169,0,0,13,2521,22951
68,6166308,7,12280,5,12358,7,12280,7,12280,0,#N/A,13,3380,22970
69,100510,10,16804,10,16791,10,16791,6,17746,0,113,8,807,22890
70,6166298,5,15403,7,12362,7,6042,7,7442,962,9,8,#N/A,22800
71,10460175,5,11180,7,16715,7,6529,5,11142,278,#N/A,8,4478,21850
72,10445441,7,12280,7,10225,7,12280,7,12280,0,#N/A,6,3288,21960
73,6166454,7,9903,7,9965,7,9966,7,12280,365,#N/A,16,4765,#N/A
74,9450263,7,6447,5,14225,7,16626,7,6447,100,0,8,1623,22760
75,9045843,7,15105,7,15103,7,14905,7,1018,122,0,16,4765,22890
76,6166452,7,7033,7,15920,7,16519,7,6658,659,#N/A,8,#N/A,22800
77,6166268,7,819,7,14332,7,5345,7,7799,444,0,8,5125,#N/A
78,9223506,7,6448,7,16169,7,16169,7,16169,307,0,13,2147,#N/A
79,6739928,5,10066,10,6538,#N/A,12280,#N/A,12280,344,0,26,1623,22760
80,8853688,7,5006,11,12280,7,12280,7,13730,89,0,#N/A,3074,22760
81,10386036,5,7541,7,14959,7,15138,5,7620,964,#N/A,8,4438,21270
82,6166459,6,16172,#N/A,12280,#N/A,12280,#N/A,12280,187,0,8,#N/A,22800
83,8901388,7,8325,#N/A,16172,7,12280,#N/A,16172,403,0,15,2035,22785
84,6740777,7,1347,7,2640,7,3553,7,2640,624,#N/A,8,5035,#N/A
85,6166411,7,6448,18,12280,18,12280,18,12281,304,#N/A,13,3500,#N/A
86,7863371,7,5905,7,15920,7,16519,5,2431,1850,#N/A,8,2334,#N/A
87,9045932,7,9538,7,15536,7,15551,7,10109,1265,#N/A,24,4615,#N/A
88,8704365,10,9776,7,12280,7,12280,7,12280,,#N/A,13,1422,#N/A
89,100528,5,4609,7,9233,6,8683,5,16063,0,#N/A,19,4100,22770
90,8696208,7,208,7,208,7,17537,#N/A,12280,12,0,8,#N/A,22870
91,9046026,7,12280,24,12280,7,12280,#N/A,16172,0,0,26,1035,22760
92,9046042,7,15429,7,15978,7,12447,5,11907,724,0,6,#N/A,22760
93,6166272,5,7388,5,5997,6,566,5,7167,352,#N/A,16,510,22880
94,8011869,7,6529,7,7033,5,10068,7,3085,376,0,16,221,22890
95,9223512,7,12280,7,12280,7,12280,7,12280,,#N/A,8,4360,22893
96,9223507,7,12280,7,12280,7,12280,7,12280,,#N/A,13,2147,22906
97,8011851,7,11928,7,12280,7,12280,7,12280,0,0,5,271,22930
98,10162087,7,12447,5,12844,5,17703,7,9028,,#N/A,6,961,21800
99,10809414,7,9028,5,8498,5,12844,7,13730,,#N/A,6,961,21800
100,9046109,7,9103,7,992,7,16169,7,16170,195,0,13,1351,#N/A
101,9046154,18,12834,7,16205,7,16205,7,16205,0,0,13,3075,#N/A
102,6166317,7,12278,7,12280,7,12277,7,12280,1,0,13,4936,#N/A
103,6166318,7,12280,7,12280,7,12280,7,12280,0,0,13,4936,22991
104,9046129,7,12280,#N/A,12280,#N/A,12280,7,12280,0,0,13,1410,22934
105,6166380,7,12278,7,12281,7,12281,7,12281,3,0,13,514,#N/A
106,6166425,7,13059,7,13058,#N/A,12280,7,12280,0,0,#N/A,3991,22710
107,6188995,7,12280,7,12280,7,12280,7,12280,,#N/A,13,515,22890
108,8983348,7,16169,18,4743,18,4743,18,13463,0,0,8,2571,#N/A
109,7863322,22,5383,5,1958,#N/A,6974,7,5760,114,0,8,2821,22300
110,6166467,7,6364,7,14829,7,12280,7,12280,,#N/A,13,1130,22790
111,9046067,5,16791,7,1230,7,7033,7,11028,758,0,16,598,22818
112,7863331,7,11291,7,15709,7,7105,8,14640,900,0,13,1380,#N/A
113,8011829,5,2120,7,3093,7,7810,5,11629,346,0,16,3999,22897
114,6166407,7,6131,7,16169,7,16169,7,6115,,#N/A,13,367,22909
115,6708635,7,8806,7,6115,7,16171,7,5972,,#N/A,6,2455,22900
116,6166458,7,15551,7,2619,7,5647,10,15419,508,1,8,1623,#N/A
117,9045977,7,9486,5,10178,5,13405,7,7170,153,0,8,1169,22890
118,7863288,7,7645,7,9610,7,10794,7,6800,353,0,3,1418,22810
119,9045965,6,566,5,9428,5,13405,5,1992,1180,0,8,#N/A,22880
120,6724646,7,17720,7,5934,7,5043,7,4679,345,#N/A,8,2467,22855
121,6166373,8,14831,7,16205,7,16205,18,3831,0,0,27,#N/A,#N/A
122,6166391,7,15871,7,12481,7,6638,7,12513,951,#N/A,8,3289,22855
123,8161698,7,554,7,12280,7,12280,7,12280,417,0,13,#N/A,#N/A
124,6166402,10,16788,10,16788,18,12281,7,16169,0,0,13,3380,#N/A
125,6166403,7,12280,7,12280,7,12280,5,12358,,#N/A,13,3379,22930
126,6166396,7,12280,7,10069,7,12280,7,12280,0,#N/A,13,3380,22930
127,6166416,10,16788,10,16788,7,16205,7,16205,0,0,13,3380,#N/A
128,6166390,7,12280,7,12280,7,12280,7,12280,,#N/A,13,4807,22930
129,6166393,5,11564,7,15920,7,13730,5,2255,,#N/A,13,3518,22930
130,9223508,7,12280,7,12280,7,12280,7,12280,,#N/A,8,2571,22930
131,6166319,7,12280,7,12280,7,12280,7,12280,1,0,22,4440,#N/A
132,6166323,7,12280,7,12280,7,12280,7,12280,,#N/A,13,4782,22960
133,6166400,22,12280,5,12358,7,12280,7,12280,,#N/A,13,3380,22930
134,6166348,7,12280,7,12280,7,12280,7,12280,,#N/A,13,515,22980
135,6166378,7,12280,7,12280,7,12280,7,12280,,#N/A,13,515,22968
136,6166384,7,6116,7,12281,7,12281,7,12280,0,0,13,4807,#N/A
137,9045849,7,12447,7,4723,5,12807,7,15978,9,0,26,698,22910
138,9419139,#N/A,12280,#N/A,12280,#N/A,12280,#N/A,12280,0,0,8,728,22940
139,9430471,7,12281,7,12281,7,12281,7,12281,800,0,27,4006,#N/A
140,8704368,#N/A,14523,7,14522,10,16787,7,9363,110,0,8,4825,22920
141,9045926,7,5352,5,4427,5,11095,7,16519,810,0,8,4480,#N/A
142,9045928,7,2546,5,5316,7,14761,7,11,674,0,8,403,22835
143,6166447,5,7847,7,5345,7,9555,7,7033,482,#N/A,8,3426,22830
144,6166362,7,5663,7,2780,6,10034,7,16196,159,#N/A,16,3724,22810
145,6166418,7,8411,7,11,7,10,7,8928,990,#N/A,8,3426,22800
146,9046126,7,16464,#N/A,16172,3,12280,3,12280,96,0,8,#N/A,22800
147,6166457,7,9855,7,12895,7,12050,7,17746,342,0,16,4765,#N/A
148,6166341,5,5997,7,15920,7,13730,5,165,1865,#N/A,8,2334,22850
149,6166352,7,11424,7,15871,7,6638,7,871,982,0,8,3289,#N/A
150,9046018,7,1701,7,5997,7,4129,5,1832,168,0,8,3724,22880
151,9046142,7,8928,7,16807,7,10109,7,2952,284,0,8,3426,22830
152,6166511,7,1139,7,9493,7,1035,7,10375,332,#N/A,8,4503,22820
153,6166369,7,12481,7,11424,7,15871,7,12513,951,#N/A,8,3289,22855
154,6166335,7,17720,7,17720,7,4739,7,4679,345,#N/A,8,2467,22850
155,6166339,7,17720,7,7843,7,5934,7,4679,345,#N/A,8,2467,22850
156,6166477,10,9688,10,9687,10,9687,18,12280,6,0,13,#N/A,#N/A
157,6166351,5,208,7,16021,7,16302,5,11575,617,#N/A,8,#N/A,22800
158,6166337,5,2540,7,5348,7,16519,5,4427,358,#N/A,8,4480,22810
159,6166469,7,14640,7,12654,7,939,7,880,548,#N/A,13,3724,#N/A
160,6166299,5,13404,7,13404,7,2255,5,5368,305,#N/A,8,1169,#N/A
161,6166401,8,12281,8,12281,8,12281,8,12281,0,#N/A,13,3380,#N/A
162,6166420,7,7132,7,327,7,340,7,17705,229,#N/A,13,3518,#N/A
163,6166398,7,10070,7,10031,7,10069,7,12280,3,#N/A,13,3380,#N/A
164,6166410,7,840,7,9063,7,12281,7,2968,0,#N/A,8,3371,#N/A
165,7863380,7,6638,7,14907,7,15221,7,15171,1540,#N/A,8,4765,#N/A
166,9045924,7,16439,7,470,7,13415,7,15871,353,#N/A,16,2755,#N/A
167,9045968,5,11213,7,3672,7,12281,10,16787,144,#N/A,13,4709,#N/A
168,6166312,7,3833,7,12280,7,12280,7,12280,0,#N/A,8,4356,#N/A
169,7889003,7,7172,7,1,7,1,7,12280,13,0,13,1417,22915
170,6166338,7,6549,7,16169,7,16169,18,16169,56,0,26,#N/A,#N/A
171,9045989,7,2204,6,13497,7,7895,5,13225,118,0,16,2863,22890
172,6166254,7,5947,7,5998,7,5664,7,5622,102,0,8,#N/A,#N/A
173,6166282,5,11131,7,6529,22,12280,22,12280,299,0,27,4318,21850
174,6166265,7,13730,7,208,7,12084,7,15920,249,5,8,1035,22760
175,8161732,7,9457,7,12280,#N/A,12280,7,12280,444,0,8,5125,22890
176,6166476,7,15560,7,6529,7,13497,5,7895,107,#N/A,16,221,#N/A
177,6800280,5,6639,7,6638,7,16955,7,1397,0,0,16,4766,#N/A
178,9276519,7,170,10,16787,5,12280,9,6447,0,0,13,4936,22880
179,6166269,7,17537,5,7442,5,11707,7,13733,649,7,8,#N/A,22800
180,6166303,6,16464,6,5283,10,16597,7,9756,100,0,30,#N/A,#N/A
181,6166271,6,16464,6,5283,#N/A,12280,#N/A,12280,100,1,8,#N/A,22800
182,6166409,7,11528,7,10109,7,16807,7,2626,157,#N/A,13,4004,22909
183,6166446,7,13730,7,9363,7,8411,7,15920,12,12,8,1035,22760
184,11377463,5,986,5,555,7,9532,5,15237,143,#N/A,8,4480,22800
185,6166481,7,12280,18,12280,18,2194,18,13463,0,#N/A,13,518,#N/A
186,115267,7,16032,5,651,5,11630,5,15981,8529,11,8,5125,22000
187,7863324,7,12836,7,12280,7,12280,7,12280,0,#N/A,13,1675,#N/A
188,6166462,7,15560,6,13497,5,10068,7,6529,107,#N/A,16,221,#N/A
189,6166502,7,15221,7,6638,7,12280,7,12280,24,#N/A,16,4765,22890
190,6166270,7,1270,7,12280,7,12280,10,6539,7,1,13,#N/A,#N/A
191,7863305,7,10109,7,16464,7,13119,7,17537,187,0,8,#N/A,22800
192,9434820,9,5234,7,14054,7,16021,5,6769,2547,#N/A,8,3082,22890
193,9290980,7,15954,9,6551,7,6042,7,11,9834,#N/A,23,#N/A,#N/A
194,8346446,5,6195,7,7356,7,6800,5,6196,1433,0,8,2395,21010
195,10533822,5,11378,7,12340,7,12447,5,9363,0,0,6,2212,21720
196,6501219,5,10109,7,6043,7,15283,7,9113,,0,13,4003,22909
197,9276518,7,13439,7,9284,7,14144,7,13233,2314,#N/A,8,570,#N/A
198,11242774,5,12902,5,12852,5,1782,7,3384,1852,#N/A,16,3758,22505
199,6166478,7,16021,7,2837,7,2108,7,9363,225,#N/A,16,4356,22930
200,7888968,5,16464,10,6548,7,12280,7,13119,93,0,8,#N/A,21850
201,8723524,7,6638,7,422,7,7196,7,12510,232,0,8,2467,22850
202,10426804,5,14925,5,15001,5,15145,7,15175,937,#N/A,16,4975,21395
203,8723527,7,17622,7,12280,22,12280,7,16172,0,0,13,1412,22970
204,10705030,7,15745,7,11128,8,16444,7,11128,0,0,8,868,21850
205,6166405,10,16787,5,17353,7,13245,7,208,1206,0,8,4825,22909
206,6166359,7,5997,5,5997,7,6486,7,14619,24,0,8,2179,22997
207,6166340,7,12447,5,991,5,15403,7,15978,316,#N/A,8,#N/A,22800
208,6166313,7,12280,7,12280,7,16169,7,16169,0,0,13,1604,22960
209,6166302,7,15429,7,13730,7,15920,5,11575,117,#N/A,8,868,22800
210,6166336,7,11114,7,12280,7,12280,7,9258,0,0,13,287,21739
211,8835832,7,11128,7,12280,7,12280,7,12280,0,0,8,2811,21810
212,8465043,5,9426,5,6673,9,12280,7,12279,0,0,26,2138,21739
213,8789630,7,12280,7,12280,7,12280,7,12242,0,0,13,4936,22980
214,6188998,7,12280,7,12798,7,12280,7,12280,,#N/A,26,1602,22960
215,8789537,#N/A,16464,#N/A,12280,#N/A,12280,#N/A,12280,0,0,21,#N/A,22960
216,6189001,7,15921,7,16170,7,16169,7,16170,0,0,13,1416,#N/A
217,9223509,7,727,7,12280,7,12280,7,12280,,#N/A,8,3261,22930
218,6166397,#N/A,406,#N/A,12280,#N/A,6155,#N/A,12280,0,0,8,4804,21730
219,9330558,7,16016,5,6752,7,16016,7,12280,,#N/A,27,4318,21850
220,8723456,7,12280,#N/A,12280,#N/A,12280,#N/A,12280,10,0,8,1035,22760
221,6166374,7,9493,7,6042,7,2778,7,4683,1641,#N/A,8,3348,#N/A
222,8835898,14,6686,7,12280,7,12280,7,12280,0,0,21,3346,22920
223,8893338,7,10708,7,15283,7,6447,7,2431,347,347,13,3075,22793
224,6166475,7,493,7,12280,18,11095,18,11095,1,#N/A,27,3823,#N/A
225,6166513,7,14290,7,2915,7,12356,7,14256,338,#N/A,8,3827,#N/A
226,8320322,7,12280,7,378,7,13730,7,13184,0,#N/A,6,961,21800
227,9880375,7,6529,5,11490,7,14230,7,6529,0,#N/A,8,2898,22920
228,10346631,7,145,7,10109,7,11617,7,145,301,#N/A,8,4635,22920
